Date,Adj Close,Close,High,Low,Open,Volume,Ticker
2024-04-01,150.64764404296875,159.0800018310547,159.58999633789062,156.94000244140625,158.27000427246094,6285700,CVX
2024-04-02,151.31053161621094,159.77999877929688,161.22000122070312,159.02000427246094,160.0500030517578,8815400,CVX
2024-04-03,151.93556213378906,160.44000244140625,160.9499969482422,159.72000122070312,160.10000610351562,7819700,CVX
2024-04-04,152.17230224609375,160.69000244140625,161.9499969482422,159.82000732421875,160.8000030517578,9269700,CVX
2024-04-05,153.03407287597656,161.60000610351562,162.1699981689453,159.86000061035156,161.3300018310547,7429800,CVX
2024-04-08,152.72157287597656,161.27000427246094,162.5,160.3300018310547,161.64999389648438,7253200,CVX
2024-04-09,153.412841796875,162.0,162.52999877929688,160.4600067138672,161.85000610351562,6577400,CVX
2024-04-10,154.04736328125,162.6699981689453,162.77000427246094,161.00999450683594,162.2100067138672,7525800,CVX
2024-04-11,153.30868530273438,161.88999938964844,163.6199951171875,159.8000030517578,163.6199951171875,7682500,CVX
2024-04-12,150.53399658203125,158.9600067138672,163.8699951171875,158.0399932861328,162.2899932861328,11058800,CVX
2024-04-15,149.2366180419922,157.58999633789062,160.49000549316406,157.36000061035156,159.94000244140625,7236900,CVX
2024-04-16,147.99607849121094,156.27999877929688,157.80999755859375,155.4199981689453,157.3000030517578,5541900,CVX
2024-04-17,148.1096954345703,156.39999389648438,157.7100067138672,155.63999938964844,155.99000549316406,6733900,CVX
2024-04-18,149.21766662597656,157.57000732421875,158.0399932861328,156.38999938964844,157.13999938964844,4979200,CVX
2024-04-19,151.51885986328125,160.0,160.75,158.14999389648438,158.75,7733100,CVX
2024-04-22,153.33709716796875,161.9199981689453,162.6999969482422,158.44000244140625,159.9499969482422,6779200,CVX
2024-04-23,154.21780395507812,162.85000610351562,162.85000610351562,160.60000610351562,161.30999755859375,5597600,CVX
2024-04-24,154.899658203125,163.57000732421875,163.83999633789062,161.4499969482422,161.8800048828125,7610300,CVX
2024-04-25,156.5189971923828,165.27999877929688,165.60000610351562,162.6699981689453,163.6999969482422,9702600,CVX
2024-04-26,157.09666442871094,165.88999938964844,166.97999572753906,163.3000030517578,165.22999572753906,9736400,CVX
2024-04-29,157.51332092285156,166.3300018310547,167.11000061035156,164.69000244140625,165.91000366210938,6364000,CVX
2024-04-30,152.72157287597656,161.27000427246094,166.1199951171875,160.9499969482422,165.97000122070312,8457300,CVX
2024-05-01,151.16848754882812,159.6300048828125,161.4499969482422,158.89999389648438,160.77999877929688,7713700,CVX
2024-05-02,152.21017456054688,160.72999572753906,161.77999877929688,159.88999938964844,160.41000366210938,8597100,CVX
2024-05-03,151.75563049316406,160.25,160.66000366210938,157.0399932861328,160.66000366210938,11664500,CVX
2024-05-06,153.69696044921875,162.3000030517578,164.02000427246094,160.72999572753906,160.72999572753906,8430300,CVX
2024-05-07,154.04736328125,162.6699981689453,163.14999389648438,162.02000427246094,162.30999755859375,6869900,CVX
2024-05-08,153.9242401123047,162.5399932861328,163.0800018310547,161.5399932861328,161.9499969482422,6706400,CVX
2024-05-09,156.6799774169922,165.4499969482422,165.50999450683594,162.72999572753906,163.02000427246094,6683300,CVX
2024-05-10,157.03038024902344,165.82000732421875,166.4199981689453,165.02000427246094,166.0399932861328,5490900,CVX
2024-05-13,155.80874633789062,164.52999877929688,166.91000366210938,162.97999572753906,166.47999572753906,6848300,CVX
2024-05-14,154.93751525878906,163.61000061035156,165.1999969482422,163.02000427246094,164.33999633789062,4924000,CVX
2024-05-15,154.40721130371094,163.0500030517578,163.8000030517578,160.1699981689453,163.1300048828125,7603100,CVX
2024-05-16,154.09153747558594,161.08999633789062,162.0,160.47999572753906,161.52999877929688,6409400,CVX
2024-05-17,155.60292053222656,162.6699981689453,162.97000122070312,161.19000244140625,161.75,5497900,CVX
2024-05-20,154.13937377929688,161.13999938964844,163.0,161.07000732421875,162.72000122070312,4913800,CVX
2024-05-21,153.02020263671875,159.97000122070312,161.4600067138672,159.74000549316406,160.5800018310547,4783300,CVX
2024-05-22,150.72445678710938,157.57000732421875,159.52000427246094,156.52000427246094,159.52000427246094,6260500,CVX
2024-05-23,150.12184143066406,156.94000244140625,158.60000610351562,156.3300018310547,157.9199981689453,6718400,CVX
2024-05-24,150.8966522216797,157.75,158.97000122070312,157.3000030517578,158.0800018310547,4476600,CVX
2024-05-28,152.13058471679688,159.0399932861328,159.4199981689453,157.9499969482422,158.1199951171875,6928300,CVX
2024-05-29,150.0835723876953,156.89999389648438,158.49000549316406,156.44000244140625,158.02000427246094,5909600,CVX
2024-05-30,151.3844757080078,158.25999450683594,158.4600067138672,156.80999755859375,156.85000610351562,6371200,CVX
2024-05-31,155.2489776611328,162.3000030517578,162.5800018310547,158.50999450683594,158.6300048828125,10334200,CVX
2024-06-03,150.61923217773438,157.4600067138672,161.67999267578125,156.4600067138672,161.49000549316406,9009900,CVX
2024-06-04,149.3470458984375,156.1300048828125,156.35000610351562,154.11000061035156,155.72000122070312,6360500,CVX
2024-06-05,148.24697875976562,154.97999572753906,157.02000427246094,154.52999877929688,156.16000366210938,7058500,CVX
2024-06-06,149.1557159423828,155.92999267578125,156.02000427246094,153.38999938964844,154.5,5215100,CVX
2024-06-07,149.2991943359375,156.0800018310547,157.69000244140625,155.1300048828125,155.7100067138672,5887700,CVX
2024-06-10,149.9305419921875,156.74000549316406,158.1999969482422,156.32000732421875,156.41000366210938,7075900,CVX
2024-06-11,149.69140625,156.49000549316406,156.75,154.47999572753906,156.1699981689453,5132000,CVX
2024-06-12,147.52000427246094,154.22000122070312,157.6300048828125,152.39999389648438,157.49000549316406,10017400,CVX
