Date,Adj Close,Close,High,Low,Open,Volume,Ticker
2024-04-01,58.917850494384766,60.68000030517578,61.29999923706055,60.630001068115234,61.18000030517578,11668700,KO
2024-04-02,58.40324401855469,60.150001525878906,60.72999954223633,60.11000061035156,60.45000076293945,13017300,KO
2024-04-03,58.09253692626953,59.83000183105469,60.38999938964844,59.779998779296875,60.04999923706055,13672900,KO
2024-04-04,57.57792282104492,59.29999923706055,60.150001525878906,59.16999816894531,60.09000015258789,14320700,KO
2024-04-05,57.781822204589844,59.5099983215332,59.68000030517578,58.90999984741211,59.25,10156200,KO
2024-04-08,57.548797607421875,59.27000045776367,59.470001220703125,59.06999969482422,59.400001525878906,10284500,KO
2024-04-09,57.9857292175293,59.720001220703125,59.7400016784668,59.130001068115234,59.47999954223633,10792100,KO
2024-04-10,57.208961486816406,58.91999816894531,59.38999938964844,58.689998626708984,59.31999969482422,11861900,KO
2024-04-11,57.33518600463867,59.04999923706055,59.369998931884766,58.790000915527344,59.150001525878906,11109000,KO
2024-04-12,56.58754348754883,58.279998779296875,59.0099983215332,58.130001068115234,58.95000076293945,12246700,KO
2024-04-15,56.45161056518555,58.13999938964844,58.810001373291016,58.040000915527344,58.61000061035156,12425000,KO
2024-04-16,56.37393569946289,58.060001373291016,58.380001068115234,57.93000030517578,58.25,11236800,KO
2024-04-17,56.81086349487305,58.5099983215332,58.560001373291016,58.099998474121094,58.279998779296875,13805100,KO
2024-04-18,57.199249267578125,58.90999984741211,58.97999954223633,58.540000915527344,58.619998931884766,11125900,KO
2024-04-19,58.42265701293945,60.16999816894531,60.36000061035156,59.0,59.099998474121094,21206200,KO
2024-04-22,58.7916259765625,60.54999923706055,60.630001068115234,59.720001220703125,60.13999938964844,15624500,KO
2024-04-23,58.87900924682617,60.63999938964844,60.68000030517578,60.130001068115234,60.529998779296875,13689100,KO
2024-04-24,59.7625846862793,61.54999923706055,61.650001525878906,59.84000015258789,60.31999969482422,19548300,KO
2024-04-25,59.94706726074219,61.7400016784668,62.59000015258789,61.369998931884766,61.869998931884766,19048500,KO
2024-04-26,59.94706726074219,61.7400016784668,61.93000030517578,61.349998474121094,61.54999923706055,10994300,KO
2024-04-29,60.23835372924805,62.040000915527344,62.04999923706055,61.529998779296875,61.91999816894531,13409300,KO
2024-04-30,59.9761962890625,61.77000045776367,62.83000183105469,61.470001220703125,62.13999938964844,19349200,KO
2024-05-01,60.131553649902344,61.93000030517578,62.56999969482422,61.209999084472656,61.79999923706055,16729800,KO
