cusip,reporting_date,total_sm_value,total_sm_shares,num_sm_investors,change_in_total_sm_value,change_in_total_sm_shares,change_in_num_sm_investors,pct_change_in_total_sm_value,pct_change_in_total_sm_shares,sentiment_score
025816109,2023-06-30,24161803000,151610700,1,0.0,0.0,0.0,0.0,0.0,0.0
025816109,2023-12-31,28301530000,151610700,1,4139727000.0,0.0,0.0,0.17133353003498952,0.0,0.08566676501749476
037833100,2023-06-30,177591262000,915560382,1,0.0,0.0,0.0,0.0,0.0,0.0
037833100,2023-09-30,156750927000,915560382,1,-20840335000.0,0.0,0.0,-0.11735000227657598,0.0,-0.05867500113828799
037833100,2023-12-31,174344984000,905560000,1,17594057000.0,-10000382.0,0.0,0.11224212409282913,-0.010922689750024592,0.05065971717140227
060505104,2023-06-30,30671708000,1032852006,1,0.0,0.0,0.0,0.0,0.0,0.0
060505104,2023-09-30,28796101000,1032852006,1,-1875607000.0,0.0,0.0,-0.061151045126016455,0.0,-0.030575522563008228
